Supporting Information,,,,,,
Prediction of Energetic Material Properties from Electronic Structure using 3D Convolutional Neural Networks,,,,,,
Alex D. Casey,,"School of Mechanical Engineering, Purdue University, West Lafayette, Indiana 47907, USA",alex.casey.13@gmail.com,,,
CC1=NC=C(O1)[N+]([O-])=O,-489.8929351,4.927476528,3.9722,1.522,-30.857,train
CC1=NC(=NO1)[N+]([O-])=O,-505.8984894,5.466266208,5.3356,1.62,0.175,train
CC1=C(OC=N1)[N+]([O-])=O,-489.8900357,5.023805592,3.1981,1.547,-29.063,train
CC1=C(N=NN1)[N+]([O-])=O,-486.045692,5.59334438,6.7295,1.613,35.396,train
CC1=NN=C(O1)[N+]([O-])=O,-505.9041892,5.281227328,4.9103,1.612,-3.544,train
CC1=NNC(=N1)[N+]([O-])=O,-486.0697357,4.944075604,3.0566,1.566,21.79,train
CC1=C(NN=N1)[N+]([O-])=O,-486.0445056,4.974552596,0.1421,1.56,38.771,train
CC1=C(ON=N1)[N+]([O-])=O,-505.8717983,4.981627612,2.7399,1.585,19.867,train
CC1=NOC=C1[N+]([O-])=O,-489.8569094,5.566677012,1.2091,1.528,-6.779,train
CC1=NOC(=N1)[N+]([O-])=O,-505.8927864,5.280138864,3.6209,1.589,5.542,train
CC1=NON=C1[N+]([O-])=O,-505.8572716,5.433068056,2.9021,1.593,29.111,train
CC1=C(N=CO1)[N+]([O-])=O,-489.8944471,5.190068468,5.0299,1.557,-32.07,train
CC1=C(C=NO1)[N+]([O-])=O,-489.8601035,5.449395016,2.1801,1.519,-8.42,train
CC1=C(N=NO1)[N+]([O-])=O,-505.8819638,5.677428224,3.9951,1.612,11.558,train
CN1C=C(N=N1)[N+]([O-])=O,-486.0366584,5.63824352,6.9745,1.569,42.073,train
CN1C=NC(=N1)[N+]([O-])=O,-486.0592789,5.519056712,7.4818,1.582,27.444,train
CN1C=NN=C1[N+]([O-])=O,-486.0450271,4.875502372,6.211,1.586,37.472,train
CN1N=CC(=N1)[N+]([O-])=O,-486.0437502,5.579466464,4.8344,1.54,39.496,train
CN1N=CN=C1[N+]([O-])=O,-486.0577537,5.195238672,3.5321,1.55,31.755,train
CN1N=NC=C1[N+]([O-])=O,-486.0339443,5.002308428,1.9647,1.538,47.241,train
CN1N=NC(=N1)[N+]([O-])=O,-502.060214,5.554976024,5.8908,1.629,63.628,train
CN1N=NN=C1[N+]([O-])=O,-502.0522031,5.20013676,4.4677,1.636,69.591,train
NC1=CC(=CO1)[N+]([O-])=O,-489.8835018,3.868673172,5.6945,1.651,-31.68,train
NC1=CC=C(O1)[N+]([O-])=O,-489.8860301,4.100516004,7.1723,1.693,-34.584,train
NC1=NNC(=C1)[N+]([O-])=O,-486.0619849,3.701321832,3.7128,1.595,24.469,train
NC1=CC(=NN1)[N+]([O-])=O,-486.0579613,4.54841894,7.6321,1.711,22.628,train
NC1=CC(=NO1)[N+]([O-])=O,-505.8904924,4.220791276,6.8157,1.719,0.482,train
NC1=C(OC=C1)[N+]([O-])=O,-489.8882571,4.353583884,6.3153,1.666,-33.965,train
NC1=NOC(=C1)[N+]([O-])=O,-505.8869666,4.199294112,5.5361,1.664,4.758,train
NC1=CN=C(N1)[N+]([O-])=O,-486.0764481,4.017248508,7.5665,1.707,10.895,train
NC1=CN=C(O1)[N+]([O-])=O,-505.9211225,4.066501504,7.4659,1.746,-20.19,train
NC1=CNC(=N1)[N+]([O-])=O,-486.0788955,3.627578396,6.0672,1.643,11.319,train
NC1=CNN=C1[N+]([O-])=O,-486.0593072,4.039017788,6.6063,1.688,23.675,train
NC1=C(ON=C1)[N+]([O-])=O,-505.8885408,4.144870912,5.9131,1.701,3.647,train
NC1=COC(=C1)[N+]([O-])=O,-489.8746888,3.923096372,6.3805,1.634,-25.238,train
NC1=COC=C1[N+]([O-])=O,-489.8810038,3.712478588,3.8328,1.611,-26.451,train
NC1=COC(=N1)[N+]([O-])=O,-505.9181082,3.769078716,6.075,1.697,-16.567,train
NC1=CON=C1[N+]([O-])=O,-505.8819216,3.795473968,5.3953,1.697,8.439,train
NC1=NC(=CN1)[N+]([O-])=O,-486.0836484,4.500526524,7.8838,1.725,5.415,train
NC1=NC=C(N1)[N+]([O-])=O,-486.0880553,4.207185476,5.775,1.681,4.321,train
NC1=NC(=CO1)[N+]([O-])=O,-505.9343273,4.391408008,6.2478,1.74,-28.291,train
NC1=NC=C(O1)[N+]([O-])=O,-505.9354143,4.393584936,5.7429,1.729,-28.982,train
NC1=NC(=NN1)[N+]([O-])=O,-502.1069234,4.886387012,8.0968,1.783,27.248,train
NC1=NC(=NO1)[N+]([O-])=O,-521.9417907,4.833596508,6.7252,1.8,3.795,train
NC1=C(OC=N1)[N+]([O-])=O,-505.9379938,4.398483024,4.4462,1.728,-29.365,train
NC1=C(N=CN1)[N+]([O-])=O,-486.0860047,4.522023688,8.1887,1.762,4.002,train
NC1=C(C=NN1)[N+]([O-])=O,-486.0713484,4.648285512,5.6821,1.703,16.065,train
NC1=C(N=NN1)[N+]([O-])=O,-502.0864682,4.822167636,7.5695,1.775,42.171,train
NC1=NN=C(N1)[N+]([O-])=O,-502.0985044,4.322834776,7.0273,1.757,33.423,train
NC1=NN=C(O1)[N+]([O-])=O,-521.9444633,4.47358704,6.4534,1.79,2.08,train
NC1=NNC=C1[N+]([O-])=O,-486.0712675,4.22187974,4.2186,1.654,17.046,train
NC1=NNC(=N1)[N+]([O-])=O,-502.1088446,3.747309436,3.7945,1.691,29.576,train
NC1=NNN=C1[N+]([O-])=O,-502.0923365,4.29807222,4.4084,1.742,39.187,train
NC1=C(NN=N1)[N+]([O-])=O,-502.0879005,4.05588898,1.4053,1.7,43.611,train
NC1=C(ON=N1)[N+]([O-])=O,-521.9152525,4.050718776,4.2081,1.756,23.255,train
NC1=NOC=C1[N+]([O-])=O,-505.8984577,4.326100168,1.4148,1.671,-0.964,train
NC1=NOC(=N1)[N+]([O-])=O,-521.932885,4.122013168,4.6754,1.742,12.019,train
NC1=NON=C1[N+]([O-])=O,-521.8982209,4.163919032,3.7045,1.739,36.071,train
NC1=C(C=CO1)[N+]([O-])=O,-489.8968654,4.289636624,4.8716,1.678,-39.719,train
NC1=C(N=CO1)[N+]([O-])=O,-505.9393451,4.619441216,6.1841,1.759,-30.635,train
NC1=C(N=NO1)[N+]([O-])=O,-521.9523426,4.715498164,1.5278,1.709,-5.33,train
NN1C=C(C=N1)[N+]([O-])=O,-486.0289867,5.591439568,5.1573,1.604,45.198,train
NN1C=CC(=N1)[N+]([O-])=O,-486.0261935,5.461912352,5.4856,1.61,46.754,train
NN1C=CN=C1[N+]([O-])=O,-486.0353575,4.59059692,4.619,1.617,42.504,train
NN1C=C(N=N1)[N+]([O-])=O,-502.0432826,5.634978128,6.3101,1.697,70.707,train
NN1C=NC(=C1)[N+]([O-])=O,-486.0392322,5.232246448,7.4375,1.67,35.791,train
NN1C=NC=C1[N+]([O-])=O,-486.0394198,4.793595456,2.7415,1.591,41.279,train
NN1C=NC(=N1)[N+]([O-])=O,-502.0669593,5.519056712,6.3791,1.705,55.948,train
NN1C=NN=C1[N+]([O-])=O,-502.0497034,4.65182302,4.9438,1.707,68.161,train
NN1N=CC=C1[N+]([O-])=O,-486.0201831,4.110856412,2.5822,1.581,53.539,train
NN1N=CC(=N1)[N+]([O-])=O,-502.0467666,5.070065312,4.4508,1.676,69.449,train
NN1N=CN=C1[N+]([O-])=O,-502.062334,4.407462852,3.61,1.691,60.796,train
NN1N=NC=C1[N+]([O-])=O,-502.0374938,4.493179392,2.1705,1.671,77.291,train
OC1=CC(=CN1)[N+]([O-])=O,-489.8959859,4.275214476,6.002,1.722,-40.861,train
OC1=CC=C(N1)[N+]([O-])=O,-489.9000898,4.25725482,6.2607,1.715,-42.775,train
OC1=CC(=CO1)[N+]([O-])=O,-509.7425382,4.183239268,5.0269,1.722,-70.415,train
OC1=CC=C(O1)[N+]([O-])=O,-509.7445428,4.359570436,4.7227,1.731,-72.655,train
OC1=C(NC=C1)[N+]([O-])=O,-489.9072571,4.300521264,4.5191,1.652,-42.546,train
[O-][N+](=O)C1=CC(=O)NN1,-505.9111238,3.6259457,2.646,1.725,-11.477,train
OC1=CC(=NN1)[N+]([O-])=O,-505.9184551,4.834684972,6.5116,1.778,-17.629,train
OC1=CC(=NO1)[N+]([O-])=O,-525.7480361,4.664340356,5.0967,1.796,-37.867,train
OC1=C(OC=C1)[N+]([O-])=O,-509.7490804,4.541343924,4.4392,1.688,-71.319,train
[O-][N+](=O)C1=CC(=O)NO1,-525.740493,4.123101632,1.499,1.764,-32.601,train
OC1=CN=C(N1)[N+]([O-])=O,-505.9358423,4.302698192,6.5638,1.783,-28.796,train
OC1=CN=C(O1)[N+]([O-])=O,-525.7779649,4.376441628,5.2219,1.815,-57.721,train
OC1=CNC(=C1)[N+]([O-])=O,-489.8924805,4.078202492,5.8019,1.674,-36.808,train
OC1=CNC=C1[N+]([O-])=O,-489.9013138,3.956294524,5.5696,1.67,-39.588,train
OC1=CNC(=N1)[N+]([O-])=O,-505.9420233,3.969356092,4.231,1.726,-30.788,train
OC1=CNN=C1[N+]([O-])=O,-505.9225223,4.280656796,5.117,1.737,-16.588,train
OC1=C(ON=C1)[N+]([O-])=O,-525.7471487,4.437939844,3.1047,1.747,-32.813,train
OC1=COC(=C1)[N+]([O-])=O,-509.7328668,4.241744208,4.8362,1.714,-64.844,train
OC1=COC=C1[N+]([O-])=O,-509.7432896,3.9048646,2.5241,1.666,-65.91,train
OC1=COC(=N1)[N+]([O-])=O,-525.7790981,4.167184424,4.0238,1.776,-56.851,train
OC1=CON=C1[N+]([O-])=O,-525.7427949,4.084189044,3.017,1.753,-29.93,train
[O-][N+](=O)C1=CNC(=O)N1,-505.9641512,3.8980617,3.4496,1.722,-44.469,train
[O-][N+](=O)C1=COC(=O)N1,-525.8105787,4.110584296,0.8161,1.779,-76.696,train
[O-][N+](=O)C1=CNC(=O)O1,-525.808891,4.384060876,5.5818,1.791,-76.399,train
[O-][N+](=O)C1=NNC(=O)N1,-521.9822091,4.113305456,1.5575,1.788,-18.881,train
[O-][N+](=O)C1=NOC(=O)N1,-541.8111532,4.472770692,2.221,1.849,-40.018,train
OC1=C(OC=N1)[N+]([O-])=O,-525.7860099,4.89944858,5.1064,1.82,-63.076,train
OC1=C(C=CN1)[N+]([O-])=O,-489.9111658,4.25589424,5.4592,1.691,-46.715,train
OC1=C(N=CN1)[N+]([O-])=O,-505.95147,4.607468112,6.2703,1.795,-37.211,train
OC1=C(C=NN1)[N+]([O-])=O,-505.9353348,4.797949312,3.2929,1.72,-23.516,train
OC1=C(N=NN1)[N+]([O-])=O,-521.9483724,4.999043036,4.8865,1.82,3.331,train
[O-][N+](=O)C1=NNC(=O)O1,-541.8259283,4.64774128,3.4292,1.854,-49.549,train
[O-][N+](=O)C1=CNNC1=O,-505.911857,4.662435544,7.9823,1.798,-14.317,train
[O-][N+](=O)C1=NC(=O)NN1,-521.9530032,3.93343678,4.9957,1.835,-3.568,train
[O-][N+](=O)C1=NNNC1=O,-521.9229477,4.507873656,7.0497,1.835,16.01,train
OC1=C(NN=N1)[N+]([O-])=O,-521.9389835,4.699715436,1.8449,1.774,8.942,train
OC1=C(ON=N1)[N+]([O-])=O,-541.7626754,4.694001,3.5924,1.849,-10.068,train
[O-][N+](=O)C1=CONC1=O,-525.7438204,4.921489976,5.5137,1.816,-35.95,train
[O-][N+](=O)C1=NC(=O)NO1,-541.7824384,4.491546696,3.4105,1.864,-23.998,train
[O-][N+](=O)C1=NONC1=O,-541.7351869,4.639305684,4.4978,1.862,6.782,train
OC1=C(C=CO1)[N+]([O-])=O,-509.7429288,4.746519388,5.8012,1.743,-71.31,train
OC1=C(N=CO1)[N+]([O-])=O,-525.7836542,5.161768404,6.7347,1.847,-62.353,train
OC1=C(C=NO1)[N+]([O-])=O,-525.7534076,5.388441032,3.5208,1.799,-41.144,train
OC1=C(N=NO1)[N+]([O-])=O,-541.8065712,4.847202308,2.2119,1.783,-41.742,train
ON1C=CC(=C1)[N+]([O-])=O,-489.8350408,4.957681404,6.0467,1.68,-0.713,train
ON1C=CC=C1[N+]([O-])=O,-489.8401292,4.358754088,3.5892,1.58,3.294,train
ON1C=C(C=N1)[N+]([O-])=O,-505.8641198,5.229253172,4.4939,1.701,18.907,train
ON1C=CC(=N1)[N+]([O-])=O,-505.8616563,5.20013676,5.0401,1.709,20.264,train
ON1C=CN=C1[N+]([O-])=O,-505.877759,4.429504248,3.9896,1.684,13.778,train
ON1C=C(N=N1)[N+]([O-])=O,-521.8777396,5.68858498,5.5057,1.784,45.882,train
ON1C=NC(=C1)[N+]([O-])=O,-505.8752961,5.330480324,6.9255,1.766,9.409,train
ON1C=NC=C1[N+]([O-])=O,-505.8796382,4.486104376,1.7398,1.661,14.174,train
ON1C=NC(=N1)[N+]([O-])=O,-521.9002717,5.550350052,5.6677,1.791,31.786,train
ON1N=CC=C1[N+]([O-])=O,-505.8525817,4.77699638,3.8351,1.684,27.844,train
ON1N=CC(=N1)[N+]([O-])=O,-521.8833046,5.340820732,4.9525,1.784,42.179,train
ON1N=CN=C1[N+]([O-])=O,-521.8928822,5.135645268,4.451,1.787,37.23,train
ON1N=NC=C1[N+]([O-])=O,-521.8684765,5.247484944,2.014,1.745,54.463,train
[O-][N+](=O)C1=CC=CN=N1,-468.7839237,4.346780984,5.7776,1.565,49.398,train
[O-][N+](=O)C1=CC=NC=N1,-468.8211133,4.802031052,3.4318,1.547,27.204,train
[O-][N+](=O)C1=CC=NN=C1,-468.7847717,3.80554226,2.2326,1.549,50.136,train
[O-][N+](=O)C1=CC=NN=N1,-484.7869411,4.325828052,4.4848,1.643,82.634,train
[O-][N+](=O)C1=CC(=O)ON1,-525.7491569,3.825678844,1.6372,1.78,-38.89,train
[O-][N+](=O)C1=CN=CC=N1,-468.8146823,4.74706362,4.1309,1.548,31.175,train
[O-][N+](=O)C1=CN=CN=C1,-468.8214324,4.634951828,1.8734,1.53,28.753,train
[O-][N+](=O)C1=CN=CN=N1,-484.8124043,4.16201422,3.3514,1.634,67.24,train
[O-][N+](=O)C1=CNC(=N)N1,-486.0697636,3.389476896,2.8415,1.627,19.098,train
[O-][N+](=O)C1=CNC(=N)O1,-505.9190789,3.883639552,4.4627,1.699,-16.102,train
[O-][N+](=O)C1=CNOC1=N,-505.8671561,4.021330248,5.648,1.742,15.742,train
[O-][N+](=O)C1=CNOC1=O,-525.751696,4.851011932,7.0898,1.852,-43.217,train
[O-][N+](=O)C1=CN=NC=N1,-484.8135861,3.854251024,1.2217,1.622,67.313,train
[O-][N+](=O)C1=CN=NN=C1,-484.7875493,4.013166768,1.1331,1.633,83.106,train
[O-][N+](=O)C1=CN=NN=N1,-500.7850457,4.013983116,2.1936,1.702,120.402,train
[O-][N+](=O)C1=COC(=N)N1,-505.9185617,3.50213292,2.3096,1.67,-14.04,train
[O-][N+](=O)C1=NC=CC=N1,-468.8178002,5.085303808,6.3177,1.56,27.65,train
[O-][N+](=O)C1=NC=CN=N1,-484.8094354,4.48855342,5.549,1.641,67.771,train
[O-][N+](=O)C1=NC=NC=N1,-484.853326,5.187075192,3.703,1.629,40.978,train
[O-][N+](=O)C1=NC(=N)NN1,-502.0671521,3.253418896,2.8921,1.687,57.519,train
[O-][N+](=O)C1=NC(=N)NO1,-521.8984102,3.820780756,2.0588,1.73,35.205,train
[O-][N+](=O)C1=NC=NN=N1,-500.8147399,4.289636624,3.2037,1.698,101.119,train
[O-][N+](=O)C1=NC(=N)ON1,-521.9020574,3.492064628,1.6098,1.771,30.646,train
[O-][N+](=O)C1=NC(=O)ON1,-541.7903693,4.186776776,3.6685,1.892,-30.421,train
[O-][N+](=O)C1=NN=CN=N1,-500.8018488,3.716560328,3.4929,1.699,109.01,train
[O-][N+](=O)C1=NNC(=N)N1,-502.0873808,3.408525016,3.4991,1.69,44.853,train
[O-][N+](=O)C1=NNC(=N)O1,-521.9357014,3.925001184,2.9886,1.747,11.396,train
[O-][N+](=O)C1=NNOC1=O,-541.7638117,4.724750108,5.1725,1.89,-12.702,train
[O-][N+](=O)C1=NOC(=N)N1,-521.9218468,3.672749652,1.7682,1.73,21.415,train
CC1=CC(=C(O)O1)[N+]([O-])=O,-549.0698797,4.562568972,6.4521,1.639,-84.054,train
CC1=C(C=NN1O)[N+]([O-])=O,-545.1912855,5.286941764,4.5712,1.602,7.367,train
CC1=CC(=NN1O)[N+]([O-])=O,-545.1874939,5.144625096,5.7731,1.595,8.738,train
CC1=CC(=NN=N1)[N+]([O-])=O,-524.1142813,4.27766352,5.312,1.53,69.785,train
CC1=NN(O)C(=C1)[N+]([O-])=O,-545.1767528,4.520118876,4.3934,1.57,17.045,train
CC1=C(O)OC(=C1)[N+]([O-])=O,-549.0665919,4.20691336,5.1804,1.617,-81.99,train
CC1=CC(O)=C(O1)[N+]([O-])=O,-549.077782,4.443110048,5.1995,1.563,-84.829,train
CC1=C(OC(O)=C1)[N+]([O-])=O,-549.0690992,4.39603398,4.6687,1.632,-83.577,train
CC1=C(N=CN1O)[N+]([O-])=O,-545.2021996,5.158775128,7.1388,1.678,-2.575,train
CC1=CN=C(N1O)[N+]([O-])=O,-545.2046222,4.300521264,4.8782,1.556,2.137,train
CC1=CN=C(N=N1)[N+]([O-])=O,-524.1361999,4.511139048,6.3574,1.533,55.219,train
CC1=C(NOC1=O)[N+]([O-])=O,-565.0756518,3.804725912,1.2208,1.648,-49.725,train
CC1=CN=NC(=N1)[N+]([O-])=O,-524.1375591,4.492363044,6.2989,1.527,54.367,train
CC1=C(N=NN1N)[N+]([O-])=O,-541.3714695,5.592255916,6.68,1.608,58.408,train
CC1=C(N=NN1O)[N+]([O-])=O,-561.2057596,5.599603048,5.8682,1.671,33.293,train
CC1=CN=NN=C1[N+]([O-])=O,-524.1102549,4.460253356,5.2354,1.537,72.662,train
CC1=C(N(O)N=C1)[N+]([O-])=O,-545.1757911,4.609917156,3.7979,1.582,18.305,train
CC1=C(ON=C1N)[N+]([O-])=O,-545.211319,4.269227924,5.8794,1.574,-5.782,train
CC1=CN(O)C(=N1)[N+]([O-])=O,-545.2026358,4.180245992,4.253,1.558,2.764,train
CC1=CN(O)N=C1[N+]([O-])=O,-545.1844814,5.041493132,4.9493,1.609,10.695,train
CC1=C(N)ON=C1[N+]([O-])=O,-545.2117094,4.007996564,6.7011,1.617,-7.778,train
CC1=COC(=C1O)[N+]([O-])=O,-549.0726256,4.517669832,4.9338,1.56,-80.996,train
CC1=COC(O)=C1[N+]([O-])=O,-549.0662211,4.630870088,5.5034,1.638,-80.915,train
CC1=C(OC=C1O)[N+]([O-])=O,-549.0574796,4.419980188,5.8502,1.64,-76.404,train
CC1=C(O)NN=C1[N+]([O-])=O,-545.2402452,4.617536404,6.3376,1.675,-26.44,train
CC1=C(NNC1=O)[N+]([O-])=O,-545.2375181,3.635741876,1.8961,1.615,-22.519,train
CC1=C(ONC1=O)[N+]([O-])=O,-565.0672089,4.080923652,1.2756,1.648,-44.241,train
CC1=C(O)OC=C1[N+]([O-])=O,-549.064556,3.9728936,4.7431,1.615,-79.441,train
CC1=C(O)ON=C1[N+]([O-])=O,-565.0706102,4.381611832,5.1433,1.685,-47.348,train
CC1=NC(=CN1O)[N+]([O-])=O,-545.2031609,5.111154828,7.299,1.658,-3.977,train
CC1=NC=C(N1O)[N+]([O-])=O,-545.2086332,4.335352112,2.6904,1.538,0.814,train
CC1=NC=C(N=N1)[N+]([O-])=O,-524.140917,4.090991944,4.231,1.52,53.835,train
CC1=NC(=C(N)O1)[N+]([O-])=O,-545.268837,4.5103227,6.5563,1.636,-44.945,train
CC1=NC(=C(O)O1)[N+]([O-])=O,-565.113437,4.991151672,7.3158,1.714,-77.097,train
CC1=NC=NC(=N1)[N+]([O-])=O,-524.1826283,5.18108864,4.3056,1.514,27.05,train
CC1=NC(N)=C(O1)[N+]([O-])=O,-545.2685586,4.36338006,5.0403,1.605,-44.243,train
CC1=C(O)NC(=N1)[N+]([O-])=O,-545.2598045,4.113577572,6.6738,1.661,-39.556,train
CC1=NC(=NN1N)[N+]([O-])=O,-541.395365,5.510349,6.8767,1.601,42.493,train
CC1=NC(=NN1O)[N+]([O-])=O,-561.2294408,5.473341224,6.4421,1.682,17.041,train
CC1=NC=NN=C1[N+]([O-])=O,-524.1381628,4.289636624,3.8684,1.527,55.801,train
CC1=NN(N)C(=N1)[N+]([O-])=O,-541.3892605,4.224328784,3.708,1.579,47.92,train
CC1=C(N(O)C=N1)[N+]([O-])=O,-545.2068816,4.34569252,1.5749,1.551,2.007,train
CC1=C(OC(N)=N1)[N+]([O-])=O,-545.2632117,4.407734968,5.6257,1.644,-42.707,train
CC1=C(N)OC(=N1)[N+]([O-])=O,-545.2451104,3.892891496,7.5543,1.635,-31.211,train
CC1=C(O)OC(=N1)[N+]([O-])=O,-565.1032093,4.146775724,5.4579,1.69,-69.719,train
CC1=NC(O)=C(N1)[N+]([O-])=O,-545.273366,4.555493956,5.8186,1.635,-47.376,train
CC1=NC(O)=C(O1)[N+]([O-])=O,-565.1168249,4.798493544,5.9695,1.68,-78.261,train
CC1=C(NC(=O)N1)[N+]([O-])=O,-545.2915659,3.852346212,4.1642,1.618,-56.903,train
CC1=C(OC(=O)N1)[N+]([O-])=O,-565.1370894,4.347597332,6.3479,1.678,-89.792,train
CC1=C(O)N=C(N1)[N+]([O-])=O,-545.2673387,3.83547502,5.0831,1.617,-42.513,train
CC1=C(OC(=N)N1)[N+]([O-])=O,-545.2473425,3.882823204,5.0254,1.603,-29.453,train
CC1=C(O)C(=NN1)[N+]([O-])=O,-545.24773,4.111400644,5.6901,1.621,-28.174,train
CC1=C(C(=O)NN1)[N+]([O-])=O,-545.2401371,4.746519388,8.2794,1.691,-27.254,train
CC1=C(C(=N)ON1)[N+]([O-])=O,-545.1911704,4.37290412,7.0528,1.686,3.437,train
CC1=C(C(=O)ON1)[N+]([O-])=O,-565.0812994,4.925027484,7.6766,1.735,-57.103,train
CC1=NN=CC(=N1)[N+]([O-])=O,-524.1418839,3.77833066,1.9924,1.51,53.966,train
CC1=NN=C(N1N)[N+]([O-])=O,-541.3790066,4.613454664,5.5556,1.604,53.996,train
CC1=NN=C(N1O)[N+]([O-])=O,-561.2190973,4.522023688,4.4327,1.642,27.106,train
CC1=NN=CN=C1[N+]([O-])=O,-524.1381633,3.926905996,1.1574,1.519,56.585,train
CC1=NNC(O)=C1[N+]([O-])=O,-545.2622103,4.751417476,3.0076,1.611,-35.72,train
CC1=NN=NC=C1[N+]([O-])=O,-524.1130518,3.985683052,1.7523,1.536,72.126,train
CC1=NN=NC(=N1)[N+]([O-])=O,-540.1456363,4.24364902,4.3445,1.581,85.295,train
CC1=NN=NN=C1[N+]([O-])=O,-540.1126981,4.089087132,3.413,1.594,106.789,train
CC1=C(N(N)N=N1)[N+]([O-])=O,-541.3647244,4.385965688,1.5645,1.569,64.816,train
CC1=NN(N)N=C1[N+]([O-])=O,-541.3732941,4.913598612,4.3997,1.588,56.688,train
CC1=C(N(O)N=N1)[N+]([O-])=O,-561.1958807,5.00965556,1.6769,1.635,41.46,train
CC1=NN(O)C=C1[N+]([O-])=O,-545.1900803,5.052377772,4.3843,1.601,7.29,train
CC1=NN(O)N=C1[N+]([O-])=O,-561.2100749,5.163128984,5.1765,1.671,29.85,train
CC1=NOC(=C1N)[N+]([O-])=O,-545.2154866,4.136979548,6.429,1.589,-9.098,train
CC1=NOC(=C1O)[N+]([O-])=O,-565.0750675,4.398483024,3.8817,1.613,-45.923,train
CC1=NOC(O)=C1[N+]([O-])=O,-565.0814626,5.33483418,3.0747,1.683,-54.168,train
CC1=C(O)C=C(O1)[N+]([O-])=O,-549.06096,4.052623588,5.2913,1.614,-78.791,train
